,Unnamed: 0,cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State,Result,rep_loyalty
0,0,1988,43.71956548,50.99662625,40.49983137,Delaware,1,1988,0.0,Delaware,1,0.8
1,1,1988,33.82348665,33.89479288,34.95768347,Delaware,0,1988,1.0,Delaware,0,0.8
2,2,1992,43.65070142,38.31372267,45.67927421,Delaware,0,1992,1.0,Delaware,1,0.9
3,3,1992,30.37409855,32.055798,31.57324064,Delaware,1,1992,0.0,Delaware,0,0.9
4,4,1996,48.33444577,46.9043326,50.7173624,Delaware,0,1996,0.0,Delaware,1,0.6
5,5,1996,35.01304394,36.3342444,31.55099947,Delaware,1,1996,1.0,Delaware,0,0.6
6,6,2000,46.29387484,45.31923714,44.83446357,Delaware,0,2000,0.0,Delaware,1,0.3
7,7,2000,42.14261861,44.94906114,42.66193607,Delaware,1,2000,1.0,Delaware,0,0.3
8,8,2004,39.43992494,39.620877,40.8166575,Delaware,1,2004,1.0,Delaware,0,0.1
9,9,2004,48.85868545,49.4388255,48.70293488,Delaware,0,2004,0.0,Delaware,1,0.1
10,10,2008,56.12165471,60.306077,51.82282163,Delaware,0,2008,0.0,Delaware,1,0.0
11,11,2008,37.50443606,35.131691,41.23416913,Delaware,1,2008,1.0,Delaware,0,0.0
12,12,2016,32.197577100000004,35.2189225,33.929685,Delaware,1,2016,0.0,Delaware,0,0.0
13,13,2016,48.86549613,50.327765,43.751044,Delaware,0,2016,1.0,Delaware,1,0.0
14,14,2020,34.31739613,34.72317,38.06233833,Delaware,1,2020,0.0,Delaware,0,0.0
15,15,2020,58.97192355,58.80167333,57.384024,Delaware,0,2020,1.0,Delaware,1,0.0
