cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State,Result,rep_loyalty
1988,46.48313710000001,50.53291038,43.83391873,Kentucky,1,1988,0.42857142857142855,Kentucky,1,0.8
1988,41.80042977,39.424997,42.37256823,Kentucky,0,1988,0.5714285714285714,Kentucky,0,0.8
1992,43.68717184,42.788203,45.28894243,Kentucky,0,1992,0.5714285714285714,Kentucky,1,0.9
1992,32.01448668,33.26395433,33.91762133,Kentucky,1,1992,0.42857142857142855,Kentucky,0,0.9
1996,45.92046568,45.742647,46.29834157,Kentucky,0,1996,0.5,Kentucky,1,0.6
1996,38.66469887,41.2314964,35.15302457,Kentucky,1,1996,0.5,Kentucky,0,0.6
2000,41.11714397,40.75618786,41.21350417,Kentucky,0,2000,0.16666666666666666,Kentucky,0,0.3
2000,47.38641452,52.99779057,47.16751253,Kentucky,1,2000,0.8333333333333334,Kentucky,1,0.3
2004,55.5205649,57.3252695,55.2680336,Kentucky,1,2004,0.8333333333333334,Kentucky,1,0.5
2004,38.84201923,38.4150375,38.76008893,Kentucky,0,2004,0.16666666666666666,Kentucky,0,0.5
2008,40.32776803,41.0393985,37.0613778,Kentucky,0,2008,0.16666666666666666,Kentucky,0,0.7
2008,52.82566168,53.6581385,55.00761363,Kentucky,1,2008,0.8333333333333334,Kentucky,1,0.7
2012,38.07681158,38.21174767,38.92004217,Kentucky,0,2012,0.33333333333333337,Kentucky,0,0.9
2012,55.91457797,56.59965417,54.30842594,Kentucky,1,2012,0.6666666666666666,Kentucky,1,0.9
2016,47.38029581,54.07895125,48.965776,Kentucky,1,2016,0.8333333333333334,Kentucky,1,1.0
2016,31.39695032,33.15414875,30.35076367,Kentucky,0,2016,0.16666666666666666,Kentucky,0,1.0
2020,56.62537806,55.56570333,56.47347133,Kentucky,1,2020,0.8333333333333334,Kentucky,1,1.0
2020,38.86914355,39.76927,39.02336367,Kentucky,0,2020,0.16666666666666666,Kentucky,0,1.0
