,candidate_name,cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State,Result
0,George Bush,1988,40.50563358,41.83259675,38.15701353,Iowa,1,1988,0.666666667,Iowa,0
1,Michael S. Dukakis,1988,49.29866894,48.66351025,50.9211923,Iowa,0,1988,0.333333333,Iowa,1
2,Bill Clinton,1992,40.876955,39.020119,39.3874203,Iowa,0,1992,0.375,Iowa,1
3,George Bush,1992,32.61155723,33.05033033,34.54417253,Iowa,1,1992,0.625,Iowa,0
4,Bill Clinton,1996,49.509905,47.6288406,49.25694873,Iowa,0,1996,0.4,Iowa,1
5,Bob Dole,1996,33.2730709,34.8440316,32.6481296,Iowa,1,1996,0.6,Iowa,0
6,Al Gore,2000,41.90088377,44.36325657,41.50992217,Iowa,0,2000,0.333333333,Iowa,1
7,George W. Bush,2000,39.938212,44.39034929,36.59733697,Iowa,1,2000,0.666666667,Iowa,0
8,George W. Bush,2004,47.67801981,47.445953,48.1451139,Iowa,1,2004,0.714285714,Iowa,1
9,John Kerry,2004,45.91127535,46.318958,45.70302153,Iowa,0,2004,0.285714286,Iowa,0
10,Barack Obama,2008,52.81154884,52.897948,50.22754753,Iowa,0,2008,0.4,Iowa,1
11,John McCain,2008,40.75415068,40.1736405,43.2907749,Iowa,1,2008,0.6,Iowa,0
12,Barack Obama,2012,48.42395303,48.16182167,47.16252113,Iowa,0,2012,0.5,Iowa,1
13,Mitt Romney,2012,46.72183935,46.51622,45.23832213,Iowa,1,2012,0.5,Iowa,0
14,Donald Trump,2016,41.63280194,44.56807875,41.815992,Iowa,1,2016,0.75,Iowa,1
15,Hillary Rodham Clinton,2016,40.34106,41.05844,38.651354,Iowa,0,2016,0.25,Iowa,0
16,Donald Trump,2020,46.86447258,47.52277,46.80826,Iowa,1,2020,0.583333333,Iowa,1
17,Joseph R. Biden Jr.,2020,47.24081903,46.13260667,45.402443,Iowa,0,2020,0.416666667,Iowa,0
