,candidate_name,cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State
0,George Bush,1988,51.59357629,54.12965688,48.72354597,Nevada,1,1988,0.42857142857142855,Nevada
1,Michael S. Dukakis,1988,32.39781481,30.99540213,35.5850141,Nevada,0,1988,0.5714285714285714,Nevada
2,Bill Clinton,1992,35.1408755,34.75713233,35.726228000000006,Nevada,0,1992,0.5,Nevada
3,George Bush,1992,30.1666105,30.463973,30.2424262,Nevada,1,1992,0.5,Nevada
4,Bill Clinton,1996,42.88134955,42.7654884,47.13699527,Nevada,0,1996,0.6666666666666667,Nevada
5,Bob Dole,1996,42.99322452,42.843947,40.83205683,Nevada,1,1996,0.3333333333333333,Nevada
6,Al Gore,2000,40.63733058,42.49307529,41.39943237,Nevada,0,2000,0.33333333333333337,Nevada
7,George W. Bush,2000,46.27440816,48.90800443,43.40261587,Nevada,1,2000,0.6666666666666666,Nevada
8,George W. Bush,2004,49.15882697,50.3685305,49.60631027,Nevada,1,2004,0.5555555555555556,Nevada
9,John Kerry,2004,45.17776368,45.216193,44.17103170000001,Nevada,0,2004,0.4444444444444444,Nevada
10,Barack Obama,2008,48.472937,49.99105525,44.673403,Nevada,0,2008,0.30000000000000004,Nevada
11,John McCain,2008,45.45581881,44.730356,46.90381333,Nevada,1,2008,0.7,Nevada
12,Barack Obama,2012,48.79625345,49.82586267,49.15931753,Nevada,0,2012,0.33333333333333337,Nevada
13,Mitt Romney,2012,46.97675252,46.79144967,45.28941677,Nevada,1,2012,0.6666666666666666,Nevada
14,Donald Trump,2016,42.07733677,44.226795,42.19475,Nevada,1,2016,0.5833333333333334,Nevada
15,Hillary Rodham Clinton,2016,44.40499194,44.895815,41.484736,Nevada,0,2016,0.4166666666666666,Nevada
16,Donald Trump,2020,43.21225742,44.40436,40.87497767,Nevada,1,2020,0.5833333333333334,Nevada
17,Joseph R. Biden Jr.,2020,49.61930258,49.57324333,46.997304,Nevada,0,2020,0.4166666666666666,Nevada
