,candidate_name,cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State
0,George Bush,1988,50.75756838,51.50605538,50.252527,New Mexico,1,1988,0.5555555555555556,New Mexico
1,Michael S. Dukakis,1988,38.56250654,38.248122,38.394872,New Mexico,0,1988,0.4444444444444444,New Mexico
2,Bill Clinton,1992,42.74293203,39.82296633,44.27476635,New Mexico,0,1992,0.375,New Mexico
3,George Bush,1992,31.85953652,33.909873,33.33832645,New Mexico,1,1992,0.625,New Mexico
4,Bill Clinton,1996,48.56376745,47.5089604,49.32541777,New Mexico,0,1996,0.4285714285714286,New Mexico
5,Bob Dole,1996,34.17995052,33.855160600000005,33.8581804,New Mexico,1,1996,0.5714285714285714,New Mexico
6,Al Gore,2000,41.44933487,43.65066657,42.0159791,New Mexico,0,2000,0.4,New Mexico
7,George W. Bush,2000,43.55068877,44.62304443,41.03648327,New Mexico,1,2000,0.6,New Mexico
8,George W. Bush,2004,46.4562749,48.478511,46.59440523,New Mexico,1,2004,0.5555555555555556,New Mexico
9,John Kerry,2004,46.74802216,44.9656315,44.487349,New Mexico,0,2004,0.4444444444444444,New Mexico
10,Barack Obama,2008,51.43546626,53.56755075,49.3343878,New Mexico,0,2008,0.5526315789473684,New Mexico
11,John McCain,2008,42.8630739,43.785311,44.57778653,New Mexico,1,2008,0.4473684210526316,New Mexico
12,Barack Obama,2012,50.15358681,50.08875333,50.63466347,New Mexico,0,2012,0.525,New Mexico
13,Mitt Romney,2012,43.08168348,43.38283233,41.18245583,New Mexico,1,2012,0.475,New Mexico
14,Donald Trump,2016,33.48416387,37.44790375,32.448424,New Mexico,1,2016,0.5384615384615384,New Mexico
15,Hillary Rodham Clinton,2016,42.47761161,43.60113,39.026777,New Mexico,0,2016,0.4615384615384616,New Mexico
16,Donald Trump,2020,40.87792548,42.17272667,41.44242833,New Mexico,1,2020,0.6666666666666666,New Mexico
17,Joseph R. Biden Jr.,2020,53.69227935,53.82389333,54.00300867,New Mexico,0,2020,0.33333333333333337,New Mexico
