,candidate_name,cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State,Result
0,George Bush,1988,43.25898984,47.65827,39.4940501,Wisconsin,1,1988,0.458333333,Wisconsin,1
1,Michael S. Dukakis,1988,46.3651449,44.27689675,47.65470303,Wisconsin,0,1988,0.541666667,Wisconsin,0
2,Bill Clinton,1992,41.68887287,38.76593233,47.05369307,Wisconsin,0,1992,0.48,Wisconsin,0
3,George Bush,1992,31.53428294,31.967831,32.97190427,Wisconsin,1,1992,0.52,Wisconsin,1
4,Bill Clinton,1996,51.16633406,49.7094848,51.7171318,Wisconsin,0,1996,0.515151515,Wisconsin,0
5,Bob Dole,1996,32.61795042,34.9896266,33.2979983,Wisconsin,1,1996,0.484848485,Wisconsin,1
6,Al Gore,2000,41.87425113,44.04623686,41.98315167,Wisconsin,0,2000,0.464285714,Wisconsin,0
7,George W. Bush,2000,41.740914,44.935702,40.72444497,Wisconsin,1,2000,0.535714286,Wisconsin,1
8,George W. Bush,2004,47.5513739,48.179759,49.2891217,Wisconsin,1,2004,0.47826087,Wisconsin,1
9,John Kerry,2004,45.91477965,46.410581,44.07264223,Wisconsin,0,2004,0.52173913,Wisconsin,0
10,Barack Obama,2008,51.39647635,52.812047,49.0886276,Wisconsin,0,2008,0.555555556,Wisconsin,0
11,John McCain,2008,41.33054803,40.85506375,43.82768377,Wisconsin,1,2008,0.444444444,Wisconsin,1
12,Barack Obama,2012,49.82714013,49.81010933,49.69792897,Wisconsin,0,2012,0.5,Wisconsin,0
13,Mitt Romney,2012,46.12278484,46.12882083,45.74715663,Wisconsin,1,2012,0.5,Wisconsin,1
14,Donald Trump,2016,38.74044065,41.12077,38.559752,Wisconsin,1,2016,0.59375,Wisconsin,0
15,Hillary Rodham Clinton,2016,45.52802226,46.5165375,43.15655033,Wisconsin,0,2016,0.40625,Wisconsin,1
16,Donald Trump,2020,43.58577839,43.79576333,43.493822,Wisconsin,1,2020,0.333333333,Wisconsin,1
17,Joseph R. Biden Jr.,2020,50.85832935,52.02580333,50.298514,Wisconsin,0,2020,0.666666667,Wisconsin,0
