,candidate_name,cycle,month_10,month_11,month_9,state,republican,Year,Rep_House_Prop,State,Result
0,George Bush,1988,50.10322171,57.58408388,44.4806035,Wyoming,1,1988,0.666666667,Wyoming,1
1,Michael S. Dukakis,1988,28.76211339,27.4092275,30.0017835,Wyoming,0,1988,0.333333333,Wyoming,0
2,Bill Clinton,1992,28.48053487,28.983954,28.14232025,Wyoming,0,1992,0.333333333,Wyoming,0
3,George Bush,1992,33.40408058,34.25411667,34.10946225,Wyoming,1,1992,0.666666667,Wyoming,1
4,Bill Clinton,1996,38.29070613,37.712323,40.20135673,Wyoming,0,1996,0.666666667,Wyoming,0
5,Bob Dole,1996,44.97505806,45.3071586,45.16950517,Wyoming,1,1996,0.333333333,Wyoming,1
6,Al Gore,2000,29.09992797,29.23472757,29.98453564,Wyoming,0,2000,0.333333333,Wyoming,0
7,George W. Bush,2000,59.68499061,61.311713,58.45731743,Wyoming,1,2000,0.666666667,Wyoming,1
8,Barack Obama,2008,33.93647003,33.63503425,31.8346405,Wyoming,0,2008,0.5,Wyoming,0
9,John McCain,2008,58.82812939,60.27611,60.1484726,Wyoming,1,2008,0.5,Wyoming,1
10,Donald Trump,2016,57.32047677,60.28322375,57.67812767,Wyoming,1,2016,0.516129032,Wyoming,1
11,Hillary Rodham Clinton,2016,21.30923065,22.2117725,20.76469767,Wyoming,0,2016,0.483870968,Wyoming,0
12,Donald Trump,2020,66.20989966,62.33691,66.2262782,Wyoming,1,2020,0.513513514,Wyoming,1
13,Joseph R. Biden Jr.,2020,29.37502276,30.84256667,32.272552,Wyoming,0,2020,0.486486486,Wyoming,0
